"project_code","plotid","image_year","image_julday","dominant_landuse","dominant_landcover","change_process","change_process_notes","interpreter"
"Czech",3383,1984,218,"Other","Non-tree","","",130
"Czech",3383,2017,213,"Other","Non-tree","Stable","",130
"Czech",3384,1984,259,"Forest","Trees","","",130
"Czech",3384,2017,213,"Forest","Trees","Stable","",130
"Czech",3385,1984,234,"Other","Non-tree","","",130
"Czech",3385,2017,213,"Other","Non-tree","Stable","",130
"Czech",3386,1984,218,"Other","Non-tree","","",130
"Czech",3386,2017,212,"Other","Non-tree","Stable","",130
"Czech",3387,1984,232,"Forest","Trees","","",130
"Czech",3387,2013,215,"Forest","Trees","Stable","",130
"Czech",3387,2014,202,"Forest","Trees","Harvest","thinning",130
"Czech",3387,2017,202,"Forest","Trees","Growth/Recovery","",130
"Czech",3388,1984,175,"Other","Non-tree","","",130
"Czech",3388,2017,217,"Other","Non-tree","Stable","",130
"Czech",3389,1984,193,"Other","Non-tree","","",130
"Czech",3389,2017,212,"Other","Non-tree","Stable","",130
"Czech",3390,1984,243,"Other","Non-tree","","",130
"Czech",3390,2017,213,"Other","Non-tree","Stable","",130
"Czech",3391,1984,218,"Forest","Trees","","",130
"Czech",3391,2017,212,"Forest","Trees","Stable","",130
"Czech",3392,1984,234,"Other","Non-tree","","",130
"Czech",3392,2017,212,"Other","Non-tree","Stable","",130
"Czech",3393,1984,234,"Other","Non-tree","","",130
"Czech",3393,2017,212,"Other","Non-tree","Stable","",130
"Czech",3394,1984,193,"Forest","Trees","","",130
"Czech",3394,2017,211,"Forest","Trees","Stable","",130
"Czech",3395,1984,275,"Other","Non-tree","","",130
"Czech",3395,2017,213,"Other","Non-tree","Stable","",130
"Czech",3396,1984,193,"Other","Non-tree","","",130
"Czech",3396,2017,219,"Other","Non-tree","Stable","",130
"Czech",3397,1984,232,"Other","Non-tree","","",130
"Czech",3397,2017,219,"Other","Non-tree","Stable","",130
"Czech",3398,1984,232,"Other","Non-tree","","",130
"Czech",3398,2017,210,"Other","Non-tree","Stable","",130
"Czech",3399,1984,193,"Other","Non-tree","","",130
"Czech",3399,2017,219,"Other","Non-tree","Stable","",130
"Czech",3400,1984,154,"Other","Non-tree","","",130
"Czech",3400,2017,213,"Other","Non-tree","Stable","",130
"Czech",3401,1984,218,"Forest","Trees","","",130
"Czech",3401,1996,235,"Forest","Trees","Stable","",130
"Czech",3401,1997,221,"Forest","Trees","Harvest","clearcut",130
"Czech",3401,1998,128,"Forest","Trees","Stable","",130
"Czech",3401,1999,211,"Forest","Trees","Harvest","clearcut",130
"Czech",3401,2009,214,"Forest","Trees","Growth/Recovery","",130
"Czech",3401,2017,213,"Forest","Trees","Stable","",130
"Czech",3402,1984,291,"Other","Non-tree","","",130
"Czech",3402,2017,213,"Other","Non-tree","Stable","",130
"Czech",3403,1984,234,"Other","Non-tree","","",130
"Czech",3403,2017,212,"Other","Non-tree","Stable","",130
"Czech",3404,1984,234,"Other","Non-tree","","",130
"Czech",3404,2017,212,"Other","Non-tree","Stable","",130
"Czech",3405,1984,193,"Forest","Trees","","",130
"Czech",3405,2017,219,"Forest","Trees","Stable","",130
"Czech",3406,1984,234,"Other","Non-tree","","",130
"Czech",3406,2017,212,"Other","Non-tree","Stable","",130
"Czech",3407,1984,193,"Other","Non-tree","","",130
"Czech",3407,2017,219,"Other","Non-tree","Stable","",130
"Czech",3408,1984,193,"Other","Non-tree","","",130
"Czech",3408,2017,218,"Other","Non-tree","Stable","",130
"Czech",3409,1984,259,"Other","Non-tree","","",130
"Czech",3409,2017,221,"Other","Non-tree","Stable","",130
"Czech",3410,1984,234,"Other","Trees","","",130
"Czech",3410,2017,212,"Other","Trees","Stable","",130
"Czech",3411,1984,218,"Forest","Trees","","",130
"Czech",3411,2017,213,"Forest","Trees","Stable","",130
"Czech",3412,1984,259,"Forest","Trees","","",130
"Czech",3412,2017,220,"Forest","Trees","Stable","",130
"Czech",3413,1984,291,"Other","Non-tree","","",130
"Czech",3413,2017,213,"Other","Non-tree","Stable","",130
"Czech",3414,1984,232,"Other","Non-tree","","",130
"Czech",3414,2017,219,"Other","Non-tree","Stable","",130
"Czech",3415,1984,232,"Other","Non-tree","","",130
"Czech",3415,2017,217,"Other","Non-tree","Stable","",130
"Czech",3416,1984,193,"Forest","Trees","","",130
"Czech",3416,2017,211,"Forest","Trees","Stable","",130
"Czech",3417,1984,234,"Forest","Trees","","",130
"Czech",3417,2017,212,"Forest","Trees","Stable","",130
"Czech",3418,1984,138,"Forest","Trees","","",130
"Czech",3418,1985,236,"Forest","Trees","Stable","",130
"Czech",3418,1986,216,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3418,2002,211,"Forest","Trees","Growth/Recovery","",130
"Czech",3418,2017,213,"Forest","Trees","Stable","",130
"Czech",3419,1984,259,"Forest","Trees","","",130
"Czech",3419,2017,213,"Forest","Trees","Stable","",130
"Czech",3420,1984,218,"Other","Non-tree","","",130
"Czech",3420,2017,212,"Other","Non-tree","Stable","",130
"Czech",3421,1984,218,"Other","Non-tree","","",130
"Czech",3421,2017,212,"Other","Non-tree","Stable","",130
"Czech",3422,1984,193,"Other","Non-tree","","",130
"Czech",3422,2017,219,"Other","Non-tree","Stable","",130
"Czech",3423,1984,218,"Other","Non-tree","","",130
"Czech",3423,2017,212,"Other","Non-tree","Stable","",130
"Czech",3424,1984,275,"Other","Non-tree","","",130
"Czech",3424,2017,213,"Other","Non-tree","Stable","",130
"Czech",3425,1984,232,"Forest","Trees","","",130
"Czech",3425,2008,219,"Forest","Trees","Stable","",130
"Czech",3425,2011,226,"Forest","Trees","Decline","mortality|agent",130
"Czech",3425,2017,227,"Forest","Trees","Growth/Recovery","",130
"Czech",3426,1984,218,"Other","Non-tree","","",130
"Czech",3426,2017,252,"Other","Non-tree","Stable","",130
"Czech",3427,1984,193,"Other","Non-tree","","",130
"Czech",3427,2017,211,"Other","Non-tree","Stable","",130
"Czech",3428,1984,234,"Other","Non-tree","","",130
"Czech",3428,2017,212,"Other","Non-tree","Stable","",130
"Czech",3429,1984,193,"Other","Non-tree","","",130
"Czech",3429,2017,211,"Other","Non-tree","Stable","",130
"Czech",3430,1984,232,"Other","Non-tree","","",130
"Czech",3430,2017,219,"Other","Non-tree","Stable","",130
"Czech",3431,1984,234,"Other","Non-tree","","",130
"Czech",3431,2017,212,"Other","Non-tree","Stable","",130
"Czech",3432,1984,218,"Other","Non-tree","","",130
"Czech",3432,2017,212,"Other","Non-tree","Stable","",130
"Czech",3433,1984,232,"Other","Non-tree","","",130
"Czech",3433,2017,219,"Other","Non-tree","Stable","",130
"Czech",3434,1984,193,"Forest","Trees","","",130
"Czech",3434,1989,197,"Forest","Trees","Stable","",130
"Czech",3434,1990,216,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3434,2006,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3434,2017,211,"Forest","Trees","Stable","",130
"Czech",3435,1984,243,"Forest","Trees","","",130
"Czech",3435,2017,213,"Forest","Trees","Stable","",130
"Czech",3436,1984,243,"Forest","Trees","","",130
"Czech",3436,2017,198,"Forest","Trees","Stable","",130
"Czech",3437,1984,259,"Forest","Trees","","",130
"Czech",3437,2017,213,"Forest","Trees","Stable","",130
"Czech",3438,1984,218,"Forest","Trees","","",130
"Czech",3438,2017,212,"Forest","Trees","Stable","",130
"Czech",3439,1984,218,"Other","Non-tree","","",130
"Czech",3439,2017,213,"Other","Non-tree","Stable","",130
"Czech",3440,1984,232,"Other","Non-tree","","",130
"Czech",3440,2017,217,"Other","Non-tree","Stable","",130
"Czech",3441,1984,218,"Other","Non-tree","","",130
"Czech",3441,2017,212,"Other","Non-tree","Stable","",130
"Czech",3442,1984,193,"Other","Non-tree","","",130
"Czech",3442,2017,211,"Other","Non-tree","Stable","",130
"Czech",3443,1984,232,"Other","Non-tree","","",130
"Czech",3443,2017,211,"Other","Non-tree","Stable","",130
"Czech",3444,1984,193,"Other","Non-tree","","",130
"Czech",3444,2017,219,"Other","Non-tree","Stable","",130
"Czech",3445,1984,234,"Other","Non-tree","","",130
"Czech",3445,2017,212,"Other","Non-tree","Stable","",130
"Czech",3446,1984,234,"Other","Non-tree","","",130
"Czech",3446,2017,212,"Other","Non-tree","Stable","",130
"Czech",3447,1984,234,"Other","Non-tree","","",130
"Czech",3447,2017,212,"Other","Non-tree","Stable","",130
"Czech",3448,1984,218,"Other","Non-tree","","",130
"Czech",3448,2017,212,"Other","Non-tree","Stable","",130
"Czech",3449,1984,248,"Forest","Trees","","",130
"Czech",3449,2017,217,"Forest","Trees","Growth/Recovery","",130
"Czech",3450,1984,218,"Other","Non-tree","","",130
"Czech",3450,1997,212,"Forest","Non-tree","Stable","",130
"Czech",3450,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3451,1984,234,"Other","Non-tree","","",130
"Czech",3451,2017,213,"Other","Non-tree","Stable","",130
"Czech",3452,1984,234,"Other","Non-tree","","",130
"Czech",3452,2017,212,"Other","Non-tree","Stable","",130
"Czech",3453,1984,234,"Other","Non-tree","","",130
"Czech",3453,2017,212,"Other","Non-tree","Stable","",130
"Czech",3454,1984,248,"Other","Non-tree","","",130
"Czech",3454,2017,217,"Other","Non-tree","Stable","",130
"Czech",3455,1984,259,"Other","Non-tree","","",130
"Czech",3455,2017,213,"Other","Non-tree","Stable","",130
"Czech",3456,1984,234,"Other","Non-tree","","",130
"Czech",3456,2017,213,"Other","Non-tree","Stable","",130
"Czech",3457,1984,193,"Other","Non-tree","","",130
"Czech",3457,2017,211,"Other","Non-tree","Stable","",130
"Czech",3458,1984,193,"Other","Non-tree","","",130
"Czech",3458,2017,218,"Other","Non-tree","Stable","",130
"Czech",3459,1984,193,"Other","Non-tree","","",130
"Czech",3459,2017,211,"Other","Non-tree","Stable","",130
"Czech",3460,1984,218,"Other","Non-tree","","",130
"Czech",3460,2017,212,"Other","Non-tree","Stable","",130
"Czech",3461,1984,232,"Other","Non-tree","","",130
"Czech",3461,2017,210,"Other","Non-tree","Stable","",130
"Czech",3462,1984,193,"Other","Trees","","",130
"Czech",3462,2017,211,"Other","Trees","Stable","",130
"Czech",3463,1984,232,"Other","Non-tree","","",130
"Czech",3463,2017,217,"Other","Non-tree","Stable","",130
"Czech",3464,1984,232,"Forest","Trees","","",130
"Czech",3464,2017,210,"Forest","Trees","Stable","",130
"Czech",3465,1984,232,"Forest","Trees","","",130
"Czech",3465,2017,194,"Forest","Trees","Stable","",130
"Czech",3466,1984,193,"Forest","Trees","","",130
"Czech",3466,2017,219,"Forest","Trees","Stable","",130
"Czech",3467,1984,234,"Other","Non-tree","","",130
"Czech",3467,2017,212,"Other","Non-tree","Stable","",130
"Czech",3468,1984,273,"Forest","Trees","","",130
"Czech",3468,2000,228,"Forest","Trees","Stable","",130
"Czech",3468,2001,215,"Forest","Trees","Harvest","thinning",130
"Czech",3468,2017,210,"Forest","Trees","Growth/Recovery","",130
"Czech",3469,1984,193,"Forest","Trees","","",130
"Czech",3469,2017,211,"Forest","Trees","Stable","",130
"Czech",3470,1984,280,"Other","Non-tree","","",130
"Czech",3470,2017,210,"Other","Non-tree","Stable","",130
"Czech",3471,1984,193,"Forest","Trees","","",130
"Czech",3471,2017,211,"Forest","Trees","Stable","",130
"Czech",3472,1984,259,"Forest","Trees","","",130
"Czech",3472,2017,213,"Forest","Trees","Stable","",130
"Czech",3473,1984,234,"Forest","Trees","","",130
"Czech",3473,2014,221,"Forest","Trees","Stable","",130
"Czech",3473,2015,215,"Forest","Trees","Harvest","clearcut",130
"Czech",3473,2017,213,"Forest","Trees","Growth/Recovery","",130
"Czech",3474,1984,232,"Other","Non-tree","","",130
"Czech",3474,2017,211,"Other","Non-tree","Stable","",130
"Czech",3475,1984,232,"Other","Trees","","",130
"Czech",3475,2017,217,"Other","Trees","Stable","",130
"Czech",3476,1984,232,"Forest","Trees","","",130
"Czech",3476,2013,215,"Forest","Trees","Stable","",130
"Czech",3476,2014,251,"Forest","Trees","Harvest","clearcut",130
"Czech",3476,2016,217,"Forest","Trees","Growth/Recovery","",130
"Czech",3477,1984,234,"Other","Non-tree","","",130
"Czech",3477,2017,212,"Other","Non-tree","Stable","",130
"Czech",3478,1984,232,"Forest","Trees","","",130
"Czech",3478,1999,216,"Forest","Trees","Stable","",130
"Czech",3478,2000,227,"Forest","Trees","Harvest","thinning",130
"Czech",3478,2006,203,"Forest","Trees","Stable","",130
"Czech",3478,2008,210,"Forest","Non-tree","Harvest","clearcut|thinning",130
"Czech",3478,2017,217,"Forest","Non-tree","Growth/Recovery","",130
"Czech",3479,1984,234,"Other","Non-tree","","",130
"Czech",3479,2017,212,"Other","Non-tree","Stable","",130
"Czech",3480,1984,234,"Other","Trees","","",130
"Czech",3480,2017,211,"Other","Trees","Stable","",130
"Czech",3481,1984,218,"Forest","Trees","","",130
"Czech",3481,2017,212,"Forest","Trees","Stable","",130
"Czech",3482,1984,234,"Forest","Trees","","",130
"Czech",3482,2000,214,"Forest","Trees","Stable","",130
"Czech",3482,2001,215,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3482,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3483,1984,218,"Other","Non-tree","","",130
"Czech",3483,2017,212,"Other","Non-tree","Stable","",130
"Czech",3484,1984,232,"Other","Non-tree","","",130
"Czech",3484,2017,210,"Other","Non-tree","Stable","",130
"Czech",3485,1984,232,"Forest","Trees","","",130
"Czech",3485,1985,234,"Forest","Trees","Stable","",130
"Czech",3485,1986,214,"Forest","Trees","Harvest","thinning",130
"Czech",3485,1996,226,"Forest","Trees","Growth/Recovery","",130
"Czech",3485,2017,219,"Forest","Trees","Stable","",130
"Czech",3486,1984,259,"Forest","Trees","","",130
"Czech",3486,2008,213,"Forest","Trees","Stable","",130
"Czech",3486,2009,231,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3486,2017,213,"Forest","Trees","Growth/Recovery","",130
"Czech",3487,1984,154,"Other","Non-tree","","",130
"Czech",3487,2017,212,"Other","Non-tree","Stable","",130
"Czech",3488,1984,193,"Other","Trees","","",130
"Czech",3488,2017,219,"Other","Trees","Stable","",130
"Czech",3489,1984,218,"Other","Non-tree","","",130
"Czech",3489,2017,220,"Other","Non-tree","Stable","",130
"Czech",3490,1984,218,"Other","Non-tree","","",130
"Czech",3490,2017,213,"Other","Non-tree","Stable","",130
"Czech",3491,1984,218,"Forest","Trees","","",130
"Czech",3491,2017,212,"Forest","Trees","Stable","",130
"Czech",3492,1984,232,"Other","Non-tree","","",130
"Czech",3492,2017,210,"Other","Non-tree","Stable","",130
"Czech",3493,1984,193,"Forest","Trees","","",130
"Czech",3493,2012,182,"Forest","Trees","Stable","",130
"Czech",3493,2014,170,"Forest","Trees","Harvest","thinning",130
"Czech",3493,2017,219,"Forest","Trees","Growth/Recovery","",130
"Czech",3494,1984,232,"Other","Non-tree","","",130
"Czech",3494,2017,219,"Other","Non-tree","Stable","",130
"Czech",3495,1984,232,"Other","Non-tree","","",130
"Czech",3495,2017,211,"Other","Non-tree","Stable","",130
"Czech",3496,1984,232,"Other","Non-tree","","",130
"Czech",3496,2017,210,"Other","Non-tree","Stable","",130
"Czech",3497,1984,232,"Forest","Trees","","",130
"Czech",3497,2017,211,"Forest","Trees","Stable","",130
"Czech",3498,1984,232,"Other","Non-tree","","",130
"Czech",3498,2017,211,"Other","Non-tree","Stable","",130
"Czech",3499,1984,234,"Other","Non-tree","","",130
"Czech",3499,2017,211,"Other","Non-tree","Stable","",130
"Czech",3500,1984,234,"Forest","Trees","","",130
"Czech",3500,2017,212,"Forest","Trees","Stable","",130
"Czech",3501,1984,243,"Other","Non-tree","","",130
"Czech",3501,2017,213,"Other","Non-tree","Stable","",130
"Czech",3502,1984,193,"Forest","Trees","","",130
"Czech",3502,2017,211,"Forest","Trees","Stable","",130
"Czech",3503,1984,232,"Forest","Trees","","",130
"Czech",3503,1989,197,"Forest","Trees","Stable","",130
"Czech",3503,1990,248,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3503,2017,242,"Forest","Trees","Growth/Recovery","",130
"Czech",3504,1984,234,"Other","Non-tree","","",130
"Czech",3504,2017,212,"Other","Non-tree","Stable","",130
"Czech",3505,1984,232,"Other","Non-tree","","",130
"Czech",3505,2017,217,"Other","Non-tree","Stable","",130
"Czech",3506,1984,218,"Forest","Trees","","",130
"Czech",3506,2015,207,"Forest","Trees","Stable","",130
"Czech",3506,2017,212,"Forest","Trees","Harvest","clearcut",130
"Czech",3507,1984,232,"Forest","Trees","","",130
"Czech",3507,1997,258,"Forest","Trees","Stable","",130
"Czech",3507,1999,209,"Forest","Trees","Harvest","thinning",130
"Czech",3507,2017,226,"Forest","Trees","Growth/Recovery","",130
"Czech",3508,1984,232,"Other","Non-tree","","",130
"Czech",3508,2017,211,"Other","Non-tree","Stable","",130
"Czech",3509,1984,234,"Other","Non-tree","","",130
"Czech",3509,2017,212,"Other","Non-tree","Stable","",130
"Czech",3510,1984,193,"Other","Non-tree","","",130
"Czech",3510,2017,226,"Other","Non-tree","Stable","",130
"Czech",3511,1984,259,"Other","Non-tree","","",130
"Czech",3511,2017,213,"Other","Non-tree","Stable","",130
"Czech",3512,1984,193,"Other","Non-tree","","",130
"Czech",3512,2017,219,"Other","Non-tree","Stable","",130
"Czech",3513,1984,232,"Other","Non-tree","","",130
"Czech",3513,2017,211,"Other","Non-tree","Stable","",130
"Czech",3514,1984,193,"Forest","Trees","","",130
"Czech",3514,1993,249,"Forest","Trees","Stable","",130
"Czech",3514,1997,244,"Forest","Non-tree","Decline","deadwoodRemoval",130
"Czech",3514,2017,211,"Forest","Trees","Growth/Recovery","",130
"Czech",3515,1984,193,"Forest","Trees","","",130
"Czech",3515,2017,211,"Forest","Trees","Stable","",130
"Czech",3516,1984,218,"Other","Trees","","",130
"Czech",3516,2017,213,"Other","Trees","Stable","",130
"Czech",3517,1984,154,"Forest","Trees","","",130
"Czech",3517,1990,307,"Forest","Trees","Stable","",130
"Czech",3517,1991,198,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3517,2008,220,"Forest","Trees","Growth/Recovery","",130
"Czech",3517,2017,213,"Forest","Trees","Stable","",130
"Czech",3518,1984,259,"Other","Non-tree","","",130
"Czech",3518,2017,213,"Other","Non-tree","Stable","",130
"Czech",3519,1984,232,"Forest","Trees","","",130
"Czech",3519,2001,230,"Forest","Trees","Stable","",130
"Czech",3519,2002,209,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3519,2017,219,"Forest","Trees","Growth/Recovery","",130
"Czech",3520,1984,259,"Other","Non-tree","","",130
"Czech",3520,2017,213,"Other","Non-tree","Stable","",130
"Czech",3521,1984,232,"Other","Non-tree","","",130
"Czech",3521,1997,251,"Forest","Non-tree","Stable","",130
"Czech",3521,2008,210,"Forest","Trees","Growth/Recovery","",130
"Czech",3521,2017,218,"Forest","Trees","Stable","",130
"Czech",3522,1984,193,"Other","Non-tree","","",130
"Czech",3522,2017,211,"Other","Non-tree","Stable","",130
"Czech",3523,1984,243,"Forest","Trees","","",130
"Czech",3523,2017,213,"Forest","Trees","Stable","",130
"Czech",3524,1984,193,"Other","Non-tree","","",130
"Czech",3524,2017,211,"Other","Non-tree","Stable","",130
"Czech",3525,1984,259,"Forest","Trees","","",130
"Czech",3525,2017,213,"Forest","Trees","Stable","",130
"Czech",3526,1984,193,"Forest","Trees","","",130
"Czech",3526,2002,202,"Forest","Trees","Stable","",130
"Czech",3526,2005,210,"Forest","Non-tree","Decline","",130
"Czech",3526,2017,219,"Forest","Trees","Growth/Recovery","",130
"Czech",3527,1984,234,"Other","Non-tree","","",130
"Czech",3527,2017,212,"Other","Non-tree","Stable","",130
"Czech",3528,1984,218,"Forest","Trees","","",130
"Czech",3528,1994,213,"Forest","Trees","Stable","",130
"Czech",3528,1995,216,"Forest","Trees","Harvest","thinning",130
"Czech",3528,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3529,1984,232,"Forest","Trees","","",130
"Czech",3529,2011,234,"Forest","Trees","Stable","",130
"Czech",3529,2012,262,"Forest","Trees","Harvest","thinning",130
"Czech",3529,2017,219,"Forest","Trees","Growth/Recovery","",130
"Czech",3530,1984,243,"Forest","Trees","","",130
"Czech",3530,1996,235,"Forest","Trees","Stable","",130
"Czech",3530,1997,269,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3530,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3531,1984,232,"Other","Non-tree","","",130
"Czech",3531,2017,219,"Other","Non-tree","Stable","",130
"Czech",3532,1984,232,"Other","Non-tree","","",130
"Czech",3532,2017,217,"Other","Non-tree","Stable","",130
"Czech",3533,1984,234,"Other","Non-tree","","",130
"Czech",3533,2017,212,"Other","Non-tree","Stable","",130
"Czech",3534,1984,232,"Other","Non-tree","","",130
"Czech",3534,2017,217,"Other","Non-tree","Stable","",130
"Czech",3535,1984,232,"Other","Non-tree","","",130
"Czech",3535,2017,217,"Other","Non-tree","Stable","",130
"Czech",3536,1984,248,"Forest","Trees","","",130
"Czech",3536,2017,226,"Forest","Trees","Stable","",130
"Czech",3537,1984,259,"Other","Non-tree","","",130
"Czech",3537,2017,213,"Other","Non-tree","Stable","",130
"Czech",3538,1984,172,"Forest","Trees","","",130
"Czech",3538,2011,229,"Forest","Trees","Stable","",130
"Czech",3538,2012,241,"Forest","Trees","Harvest","thinning",130
"Czech",3538,2017,213,"Forest","Trees","Growth/Recovery","",130
"Czech",3539,1984,232,"Other","Non-tree","","",130
"Czech",3539,2017,219,"Other","Non-tree","Stable","",130
"Czech",3540,1984,243,"Other","Non-tree","","",130
"Czech",3540,2017,213,"Other","Non-tree","Stable","",130
"Czech",3541,1984,234,"Forest","Trees","","",130
"Czech",3541,1999,212,"Forest","Trees","Stable","",130
"Czech",3541,2000,215,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3541,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3542,1984,218,"Other","Non-tree","","",130
"Czech",3542,2017,212,"Other","Non-tree","Stable","",130
"Czech",3543,1984,232,"Forest","Trees","","",130
"Czech",3543,2007,207,"Forest","Trees","Stable","",130
"Czech",3543,2011,235,"Forest","Trees","Harvest","clearcut",130
"Czech",3543,2017,211,"Forest","Trees","Growth/Recovery","",130
"Czech",3544,1984,259,"Other","Non-tree","","",130
"Czech",3544,2017,213,"Other","Non-tree","Stable","",130
"Czech",3545,1984,232,"Other","Non-tree","","",130
"Czech",3545,2017,217,"Other","Non-tree","Stable","",130
"Czech",3546,1984,193,"Forest","Trees","","",130
"Czech",3546,2017,210,"Forest","Trees","Stable","",130
"Czech",3547,1984,232,"Other","Non-tree","","",130
"Czech",3547,2017,217,"Other","Non-tree","Stable","",130
"Czech",3548,1984,170,"Other","Non-tree","","",130
"Czech",3548,2017,213,"Other","Non-tree","Stable","",130
"Czech",3549,1984,218,"Other","Non-tree","","",130
"Czech",3549,2017,212,"Other","Non-tree","Stable","",130
"Czech",3550,1984,232,"Other","Non-tree","","",130
"Czech",3550,2017,210,"Other","Non-tree","Stable","",130
"Czech",3551,1984,234,"Other","Non-tree","","",130
"Czech",3551,2017,212,"Other","Non-tree","Stable","",130
"Czech",3552,1984,232,"Forest","Trees","","",130
"Czech",3552,2017,211,"Forest","Trees","Growth/Recovery","",130
"Czech",3553,1984,218,"Other","Non-tree","","",130
"Czech",3553,2017,212,"Other","Non-tree","Stable","",130
"Czech",3554,1984,243,"Other","Trees","","",130
"Czech",3554,2017,213,"Other","Trees","Stable","",130
"Czech",3555,1984,193,"Other","Non-tree","","",130
"Czech",3555,2017,219,"Other","Non-tree","Stable","",130
"Czech",3556,1984,234,"Other","Non-tree","","",130
"Czech",3556,2017,212,"Other","Non-tree","Stable","",130
"Czech",3557,1984,193,"Other","Non-tree","","",130
"Czech",3557,2017,211,"Other","Non-tree","Stable","",130
"Czech",3558,1984,234,"Forest","Trees","","",130
"Czech",3558,2017,203,"Forest","Trees","Stable","",130
"Czech",3559,1984,193,"Other","Non-tree","","",130
"Czech",3559,2017,219,"Other","Non-tree","Stable","",130
"Czech",3560,1984,193,"Other","Non-tree","","",130
"Czech",3560,2017,218,"Other","Non-tree","Stable","",130
"Czech",3561,1984,232,"Other","Non-tree","","",130
"Czech",3561,2017,217,"Other","Non-tree","Stable","",130
"Czech",3562,1984,232,"Other","Non-tree","","",130
"Czech",3562,2017,218,"Other","Non-tree","Stable","",130
"Czech",3563,1984,218,"Forest","Trees","","",130
"Czech",3563,2013,216,"Forest","Trees","Stable","",130
"Czech",3563,2014,220,"Forest","Trees","Harvest","thinning",130
"Czech",3563,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3564,1984,232,"Other","Non-tree","","",130
"Czech",3564,2017,226,"Other","Non-tree","Stable","",130
"Czech",3565,1984,243,"Other","Non-tree","","",130
"Czech",3565,2017,213,"Other","Non-tree","Stable","",130
"Czech",3566,1984,234,"Other","Non-tree","","",130
"Czech",3566,2017,212,"Other","Non-tree","Stable","",130
"Czech",3567,1984,193,"Forest","Trees","","",130
"Czech",3567,2017,219,"Forest","Trees","Stable","",130
"Czech",3568,1984,241,"Other","Non-tree","","",130
"Czech",3568,2017,210,"Other","Non-tree","Stable","",130
"Czech",3569,1984,232,"Other","Non-tree","","",130
"Czech",3569,2017,217,"Other","Non-tree","Stable","",130
"Czech",3570,1984,232,"Other","Non-tree","","",130
"Czech",3570,2017,219,"Other","Non-tree","Stable","",130
"Czech",3571,1984,218,"Forest","Trees","","",130
"Czech",3571,2017,212,"Forest","Trees","Stable","",130
"Czech",3572,1984,232,"Other","Non-tree","","",130
"Czech",3572,2017,226,"Other","Non-tree","Stable","",130
"Czech",3573,1984,234,"Other","Non-tree","","",130
"Czech",3573,2017,211,"Other","Non-tree","Stable","",130
"Czech",3574,1984,218,"Forest","Trees","","",130
"Czech",3574,2014,188,"Forest","Trees","Stable","",130
"Czech",3574,2015,215,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3574,2017,236,"Forest","Non-tree","Growth/Recovery","",130
"Czech",3575,1984,232,"Forest","Trees","","",130
"Czech",3575,2004,223,"Forest","Trees","Stable","",130
"Czech",3575,2005,209,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3575,2017,226,"Forest","Trees","Growth/Recovery","",130
"Czech",3576,1984,218,"Forest","Trees","","",130
"Czech",3576,2005,211,"Forest","Trees","Stable","",130
"Czech",3576,2008,220,"Forest","Trees","Decline","",130
"Czech",3576,2017,212,"Forest","Trees","Growth/Recovery","",130
"Czech",3577,1984,193,"Other","Non-tree","","",130
"Czech",3577,2017,211,"Other","Non-tree","Stable","",130
"Czech",3578,1984,193,"Other","Non-tree","","",130
"Czech",3578,2017,211,"Other","Non-tree","Stable","",130
"Czech",3579,1984,218,"Forest","Trees","","",130
"Czech",3579,2008,219,"Forest","Trees","Stable","",130
"Czech",3579,2009,230,"Forest","Trees","Harvest","clearcut",130
"Czech",3579,2011,228,"Forest","Trees","Stable","",130
"Czech",3579,2012,255,"Forest","Non-tree","Harvest","clearcut",130
"Czech",3579,2017,212,"Forest","Non-tree","Growth/Recovery","",130
"Czech",3580,1984,232,"Other","Non-tree","","",130
"Czech",3580,2017,219,"Other","Non-tree","Stable","",130
"Czech",3581,1984,243,"Forest","Trees","","",130
"Czech",3581,2002,211,"Forest","Trees","Stable","",130
"Czech",3581,2003,215,"Forest","Trees","Harvest","thinning",130
"Czech",3581,2008,213,"Forest","Trees","Stable","",130
"Czech",3581,2009,215,"Forest","Trees","Harvest","thinning",130
"Czech",3581,2017,213,"Forest","Trees","Growth/Recovery","",130
"Czech",3582,1984,218,"Forest","Trees","","",130
"Czech",3582,1994,213,"Forest","Trees","Stable","",130
"Czech",3582,1995,223,"Forest","Trees","Harvest","thinning",130
